;Definiciones;;;;;;Contexto de aplicabilidad;;;;;;;;;
AP - 0011;El sistema debe solicitar a cualquier actor (usuario) que intenta autenticarse, como mínimo un nombre de usuario y una contraseña. No usar solo identificadores como documento, correo, userID, APIkey o ClientID.;Desarrollo funcional o no funcional;"Controlar el acceso de usuarios a la aplicación o sistema.
Confirmar que quien intenta acceder es quien dice ser.
Proteger el acceso a recursos y verificar que quien accede sea un usuario que tiene permisos para acceder a dichos recursos.";;;;x;x;x;x;x;x;x;;x;
AP - 0012;Un sistema crítico para el negocio debe requerir claves de un solo uso en el proceso de autenticación.;Desarrollo funcional o no funcional;Mitigar ataques de Replay y de fuerza bruta;;;;;x;;x;x;;x;;x;
AP - 0013;Un sistema crítico para el negocio debe tener un componente para verificación biométrica durante el proceso de autenticación.;Desarrollo funcional o no funcional;"Mitigar que terceros no autorizados logren ingresar al sistema suplantando una identidad. 
Mitigar fuga de información
Controlar el acceso a aplicaciones críticas";;;;;x;;x;x;;x;;x;
AP - 0014;Un sistema crítico para el negocio debe requerir la identificación del equipo desde el cual se autentica un usuario o sistema.;Desarrollo funcional o no funcional;"Mitigar que terceros no autorizados logren ingresar al sistema
Mitigar fuga de información
Controlar el acceso a aplicaciones críticas";;;;;x;;x;x;x;x;x;x;
AP - 0015;Las credenciales para la autenticación a un sistema crítico para el negocio deben estar bajo la custodia de dos usuarios.;Desarrollo funcional o no funcional;"Tener una supervisión del acceso y actividades que realicen los usuarios en el sistema, dado que se requieren de los dos usuarios para acceder y uno se convierte en el supervisor del otro.
Disminuir el riesgo de acceso no autorizado y fuga de informacción por el robo de credenciales. (el delincuente tendría que robar las dos credenciales para tener éxito).";;;;;x;;x;x;;x;;x;
AP - 0016;Las aplicaciones deben reutilizar una interfaz de autenticación preexistente para el tipo de usuario (Ej.: Cliente o empleado);Desarrollo funcional o no funcional;Unificar y administrar centralizadamente las políticas de autenticación, de usuario y de contraseña.;;;;x;x;x;;;;x;;x;
AP - 0017;El proceso de autenticación debe disponer de una interfaz separada donde solo se solicite el ingreso de credenciales;Desarrollo funcional o no funcional;"Mitigar que un usuario ingrese credenciales de acceso en otros campos
Mitigar que la aplicación muestre las capacidades que tiene antes de una autenticación exitosa
Mitigar que se puedan ejecutar operaciones sin estar autenticado";;;;x;;x;;;;;;;
AP - 0018;El proceso de autenticación debe tener un tiempo límite establecido de 1 minuto y despues borrar los datos de autenticación que no se hayan enviado.;Desarrollo funcional o no funcional;Mitigar que sea aprovechados datos de autenticación desatendidos por el usuario para que un tercero no autorizado pueda acceder al sistema o información.;;;;x;x;x;;;;x;;x;
AP - 0019;El sistema debe garantizar que quien realiza las acciones de registro, autenticación y restablecimiento de contraseña es un humano (usando CAPTCHA o retrasos incrementales);Desarrollo funcional o no funcional;Mitigar que robots puedan atacar una aplicación con el propósito de conseguir credenciales válidas o generar una negación de servicio.;;;;x;x;x;;;;;;x;
AP - 0020;El sistema debe garantizar que la persona que realiza el proceso de novedad sobre un mecanismo de autenticación sea realmente el propietario con un mecanismo igual o más robusto de autenticación. (Ej.: Autenticar con token para el cambio del número celular al que se envía un OTP de emergencia) ;Desarrollo funcional o no funcional;Mitigar que sea restablecida una contraseña por un tercero no autorizado.;;;;;x;;;;;x;;x;
AP - 0021;El sistema no debe permitir la autenticación exitosa de un usuario con credenciales de autenticación expiradas, revocadas o bloqueadas.;Desarrollo funcional o no funcional;Mitigar la fuga de información o ejecución de funciones críticas a usuarios que no deberían tener acceso al sistema.;;;;;x;;x;x;x;x;;x;
AP - 0022;El sistema debe registrar en logs todos los eventos excepcionales, eventos de seguridad seguridad y acciones de acceso a información confidencial  por parte de usuarios y sistemas, donde se incluyan acciones exitosas y no exitosas.;Desarrollo funcional o no funcional;Poder realizar investigaciones o monitoreo sobre las acciones de los usuarios u otros sistemas en la aplicación.;;;;;x;;x;x;x;x;x;x;
AP - 0023;El sistema debe registrar el nivel de severidad para cada evento excepcional y de seguridad.;Desarrollo funcional o no funcional;Poder realizar investigaciones o monitoreo sobre las acciones de los usuarios u otros sistemas en la aplicación.;;;;;x;;x;x;x;x;x;x;
AP - 0024;"El sistema debe registrar: el momento exacto de ocurrencia (Fecha, hora, segundos, milisegundos y zona horaria) para cada evento excepcional y de seguridad; y otros datos que permitan realizar la respectiva investigación o correlación como Usuario, Acción realizada, IP local, IP pública, entre otros.";Desarrollo funcional o no funcional;Facilitar la investigación de incidentes de seguridad;;;;;x;;x;x;x;x;x;x;
AP - 0025;Los logs de un sistema no deben ser modificables o alterables.;Desarrollo funcional o no funcional;Mitigar la manipulación de las bitácoras para ocultar incidentes de seguridad ;;;;;x;;x;x;x;x;x;x;
AP - 0026;La organización debe almacenar los logs al menos desde la ocurrencia del evento en el sistema hasta el tiempo que disponga la regulación vigente para dicho sistema.;Desarrollo funcional o no funcional;Facilitar la investigación de incidentes de seguridad;;;;;x;;x;x;x;x;x;x;
AP - 0027;La gestión de logs debe realizarse por el sistema operativo o un sistema externo a la aplicación.;Desarrollo funcional o no funcional;"Mitigar un mal manejo de los logs
Reutilizar los servicios de logs que ofrece la plataforma
Facilitar la integración con herramientas de monitoreo y atención de incidentes";;;;;x;;x;x;x;x;x;x;
AP - 0028;El sistema debe permitir a los usuarios autorizados consultar el historial de acciones realizadas por él mismo.;Desarrollo funcional o no funcional;Permite a los usuarios la auto detección de incidentes de seguridad;;;;;x;;x;x;x;x;x;x;
AP - 0029;En el código fuente, un componente debe poseer el menor número de dependencias posible.;Desarrollo funcional o no funcional;"Permite tener pocas dependencias de implementación (multiplataforma).
Mitigar instalación de componentes adicionales para que la aplicación funcione correctamente.";;;;x;x;x;x;x;x;x;x;x;
AP - 0030;En el código fuente, los componentes deben utilizar interfaces en vez de implementaciones.;Desarrollo funcional o no funcional;"Permite utilizar funciones estándares que ya han sido probadas y simplificar el código fuente.
Minimizar errores en la aplicación.";;;;x;x;x;x;x;x;x;x;x;
AP - 0031;El tiempo de respuesta con la concurrencia máxima esperada debe ser de no más de 5 segundos. ;Desarrollo funcional o no funcional;"Definir el tiempo ideal para responder ante un periodo de máxima concurencia.
Asegurar la disponibilidad de la aplicación ante picos de concurrencia.";;;;;x;;x;x;x;x;x;x;
AP - 0032;El porcentaje de errores con la concurrencia máxima esperada debe ser de 0%. ;Desarrollo funcional o no funcional;"Definir el porcentaje de errores admitidos en un peridodo de concurrencia máxima.
Asegurar la disponibilidad de la aplicación ante picos de concurrencia.";;;;;x;;x;x;x;x;x;x;
AP - 0033;El código fuente no debe tener funciones, métodos o clases repetidas.;Desarrollo funcional o no funcional;"Definir el porcentaje de errores admitidos en un peridodo de concurrencia máxima.
Asegurar la disponibilidad de la aplicación ante picos de concurrencia.";;;;x;x;x;x;x;x;x;x;x;
AP - 0034;El código debe utilizar contenedores de memoria o estructuras de datos optimizadas. ;Desarrollo funcional o no funcional;Minimizar el uso de la memoria RAM de una aplicación.;;;;x;x;x;x;x;x;x;x;x;
AP - 0035;El sistema debe comprimir todo código que vaya a ser transferido entre éste y otro sistema o cliente. ;Desarrollo funcional o no funcional;"Dar un poco de seguridad ya el código es un poco meno legible
Optimizar el cosumo de canal y agilizar la trasferencia";;;;x;x;x;x;x;x;x;x;x;
AP - 0036;El código fuente debe contener funciones, métodos o fragmentos de código con una complejidad ciclomática (McCabe) inferior a 20. ;Desarrollo funcional o no funcional;"Mitigar la probabilidad de incluir fallas. (Riesgo de falla)
Permitir que el código sea posible probarlo, entenderlo y modificarlo fácilmente.";;;;x;x;x;x;x;x;x;x;x;
AP - 0037;El sistema debe notificar a un usuario el vencimiento de su contraseña con una antelación de 7 días.;Desarrollo funcional o no funcional;Mitigar la denegación del servicio por bloqueo de contraseña;;;;;x;;x;x;;x;x;x;
AP - 0038;El sistema debe permitir a un usuario realizar un cambio de contraseña de forma autónoma hasta 5 días después del vencimiento de la misma.;Desarrollo funcional o no funcional;Mitigar la denegación del servicio por bloqueo de contraseña;;;;;x;;x;x;;x;x;x;
AP - 0039;Las contraseñas deben almacenarse a través de resúmenes criptográficos definidos para este proposito como son PBKDF2, bcrypt o Argon2.;Desarrollo funcional o no funcional;"Mitigar la fuga masiva de contraseñas de usuarios
Mitigar que las contraseñas de usuario sean expuestas a los administradores del sistema";;;;;x;;x;x;;x;x;x;
AP - 0040;Las credenciales deben estar almacenadas en una fuente de datos única.;Desarrollo funcional o no funcional;"Administrar las políticas de contraseña de manera centralizada
Facilitar la administración de los usuarios
Reducir procesos operativos
Reducir la superficie de riesgo ante incidentes de seguridad";;;;;x;;x;x;;;;x;
AP - 0041;El sistema no debe permitir cambio de contraseña para un usuario, si la nueva contraseña es igual a alguna de las últimas 24 contraseñas de ese usuario.;Desarrollo funcional o no funcional;Mitigar que los usuarios tengan contraseñas preferidas y que una vez comprometidas tengan una vigencia indefinida;;;;;x;;x;x;;x;x;x;
AP - 0042;Las contraseñas deben tener una validez máxima de 45 días.;Desarrollo funcional o no funcional;"Mitigar que la contraseña sea adivinada por un delincuente en el tiempo.
Mitigar que una contraseña comprometida siga teniendo vigencia en el tiempo";;;;;x;;x;x;;x;x;x;
AP - 0043;La contraseña no debe poder cambiarse mas de una vez en un mismo día.;Desarrollo funcional o no funcional;Cuando se usa el control de evitar que el usuario use contraseñas anteriores, con este control se evita que un usuario cambie las claves hasta volver a la que tenia asignada.;;;;;x;;x;x;;x;x;x;
AP - 0044;Las contraseñas deben tener una longitud mínima de 8 caracteres para usuarios finales y 20 caracteres para usuarios de conexión entre sistemas o usuarios de servicio.  ;Desarrollo funcional o no funcional;"Volver más compleja la posibilidad de que una persona mal intencionada adivine una contraseña.
Reducir la posibilidad de que un robot pueda adivinar una contraseña mediante fuerza bruta.";;;;x;x;x;x;x;;x;x;x;
AP - 0045;El sistema debe almacenar las contraseñas con diferentes derivaciones de clave (Salt).;Desarrollo funcional o no funcional;Proteger las contraseñas de un ataque de diccionario o de tipo rainbow table (Las tablas arco iris son una herramienta para obtener una contraseña a partir del valor hash).;;;;;x;;x;x;;x;x;x;
AP - 0046;El sistema debe forzar el cambio de contraseñas temporales, después de su primer uso.;Desarrollo funcional o no funcional;Grantizar que el usuario es el único que conoce la contraseña por lo que el sistema debe forzar al usuario para que realice este cambio.;;;;x;x;x;x;x;;x;x;x;
AP - 0047;El sistema debe forzar el cambio de contraseñas temporales generadas por un tercero después de su primer uso.;Desarrollo funcional o no funcional;Grantizar que el usuario es el único que conoce la contraseña por lo que el sistema debe forzar al usuario para que realice este cambio.;;;;x;x;x;x;x;;x;x;x;
AP - 0048;Las contraseñas temporales que son generadas para ingreso inicial en un sistema deben tener una validez máxima de 120 minutos.;Desarrollo funcional o no funcional;Personalizar la contraseña en un periodo de tiempo corto, si el usuario deja expirar la contraseña temporal, éste debe tener la posibildiad de solicitar nuevamente otra contraseña.;;;;;x;;x;x;;x;x;x;
AP - 0049;El sistema debe forzar a un usuario a realizar nuevamente el proceso de autenticación o invalidar la sesión en el sistema una vez haya ocurrido un cambio en el estado del usuario (Cambio o restauración de su contraseña, bloqueo, borrado del usuario, deshabilitación del usuario, etc.);Desarrollo funcional o no funcional;Grantizar que al sistema solo ingresen usuarios autorizados en cada momento en el sistema.;;;;;x;;x;x;;x;x;x;
AP - 0050;Aplicaciones que se autentiquen fuera de línea, sólo deben almacenar una contraseña en el caché de autenticación.;Desarrollo funcional o no funcional;Mitigar que se almacenen localmente en el caché de autenticación todas las contraseñas de los usuarios que ingresan a la aplicación, solo se debe almacenar la contraseña del usuario que se loguea habitualmente en la maquina o el dispositivo local donde esté el caché de autenticación.;;;;;;x;;;;;;x;
AP - 0051;Las contraseñas deben contener como mínimo 3 de los siguientes 4 tipos de caracteres: una letra minúscula, una letra mayúscula, un dígito o un carácter especial.;Desarrollo funcional o no funcional;Mitigar la suplantación de usuarios por la obtención de credenciales mediante fuerza bruta, ataques de diccionario, intentos de adivinar y ataques en el almacenamiento o transporte.;;;;x;x;x;x;x;x;x;;x;
AP - 0052;Si el sistema posee un mecanismo de administración, este debe ser accesible solo desde segmentos de red de gestión o administrativos.;Desarrollo funcional o no funcional;Mitigar que se tenga acceso a las consolas administrativas desde Internet u otras redes que puedan ser inseguras.;;;;;x;;x;x;x;;;x;
AP - 0053;El sistema no debe permitir a un actor aumentar los privilegios para él mismo o por otro actor no autorizado.;Desarrollo funcional o no funcional;Mitigar que un usuario pueda realizar acciones o acceder a información que no tiene autorización.;;;;;x;;x;x;x;x;x;x;
AP - 0054;Debe existir un módulo u opción, en la cual se configuren o parametricen las autorizaciones de los usuarios en la aplicación. ;Desarrollo funcional o no funcional;Mitigar que cambios en las autorizaciones de los usuarios requieran un desarrollo, de tal manera que se puedan aplicar cambios rapidamente y que el proceso de certificación de accesos de usuarios en la aplicación se pueda realizar facilmente.;;;;;x;;x;x;x;x;x;x;
AP - 0055;El sistema debe restringir el acceso a objetos del sistema que tengan contenido sensible y solo permitir su acceso a usuarios autorizados.;Desarrollo funcional o no funcional;Mitigar que información sencible pueda ser accedida por usuarios no autorizados y que ésta permita la materizalización de un fraude por fuga de información.;;;;;x;x;x;x;x;x;x;x;
AP - 0056;El sistema debe utilizar el mínimo nivel de privilegios cuando accede a otro sistema o a bases de datos.;Desarrollo funcional o no funcional;Mitigar que una aplicación haga sobre otro sistemas operaciones que no esta autorizado a hacer.;;;;x;x;x;x;x;x;x;x;x;
AP - 0057;Los segmentos de usuarios y servidores con aplicaciones o contenido deben permitir acceso solo a los puertos necesarios. Aplica para conexiones entrantes.;Desarrollo funcional o no funcional;Mitigar que la aplicación se conecte con otras aplicaciones fraudulentas o que por ninguna razón lo debería hacer.;;;;;x;;x;x;x;;;x;
AP - 0058;Los servidores con aplicaciones o contenido solo deben tener acceso a las redes y puertos que les permitan cumplir su propósito. Aplica para conexiones salientes.;Desarrollo funcional o no funcional;Mitigar que la aplicación utilice puertos que por ninguna razón debe utilizar.;;;;;x;;x;x;x;x;x;x;
AP - 0059;El sistema debe requerir autenticación para todos los recursos, excepto para la consulta o visualización de aquellos específicamente clasificados como públicos.;Desarrollo funcional o no funcional;Mitigar que los recursos con acceso restrifigido, sean utilizados por un sistema que no tenga permisos sobre el recurso. Esto no aplica para recursos públicos.;;;;;x;x;x;x;x;x;x;x;
AP - 0060;El sistema debe restringir el acceso a funciones que ejecutan procesos críticos y solo permitir el acceso a usuarios autorizados.;Desarrollo funcional o no funcional;Mitigar que las funciones del sistema que ejecuten procesos crítcos, sean utilizados por usuarios que no tenga permisos sobre el recurso.;;;;;x;;x;x;x;x;x;x;
AP - 0061;Los privilegios para objetos nuevos deben establecerse según el principio del mínimo privilegio.(Ej.: Archivos, tablas, registros, llaves, etc.).;Desarrollo funcional o no funcional;Mitigar que los objetos nuevos pueda ser consultados o modificados por usuarios no autorizados.;;;;;x;;x;x;x;x;x;x;
AP - 0062;Las contraseñas de los usuarios con altos privilegios, deben ser custodiadas y gestionadas por la herramienta definida por el Entidad para este fin.;Procedimiento definido e implementado;"Mitigar la suplantación de usuarios privilegiados
Mitigar la fuga de información
Mitigar eventos de indisponibilidad del servicio";;;;;x;;x;x;x;x;;x;
AP - 0063;Los privilegios requeridos por los usuarios que accederán al sistema deben estar definidos.;Procedimiento definido e implementado;Mitigar que un usuario tenga autorizaciones superiores a las requeridas para desempeñar sus actividades laborales, evitando que se puedan materializar fraudes y fuga de información por dar mas privilegios de los requeridos.;;;;;x;;x;x;x;x;x;x;
AP - 0064;Las aplicaciones expuestas a Internet o a terceros deben establecer las conexiones a través de intermediarios seguros (Ej.: Secure Gateway, WAF, Proxy Reverso, etc.);Desarrollo funcional o no funcional;"Mitigar la explotación de posibles vulnerabilidades que tenga la aplicación y/o los puertos que esta utiliza, de esta manera se puede contener ataques en la DMZ, sin exponer la red interna; evitando fraudes, fuga de información confidencial o ejecución de funcionalidades criticas para el negocio. (Apagar un servidor)";;;;;x;;x;x;x;x;x;x;
AP - 0065;Las cookies de sesión de aplicaciones Web deben tener atributos de seguridad (HttpOnly, Secure, SameSite ) y tener el Path y Domain lo más restrictivo posible;Desarrollo funcional o no funcional;"Mitigar que las cookies puedan ser usadas por otras aplicaciones.
Mitigar que las cookies sean enviadas por un canal que no sea HTTPS.
Mitigar la fuga de información confidencial o tokens de sesión.
Mitigar ataques de tipo Cross-Site-Scripting o XSS, ";;;;;x;;x;x;;;;;
AP - 0066;El sistema no debe utilizar certificados digitales con una vigencia superior a un año.;Procedimiento definido e implementado;Mitigar ataques con los que se pueda comprometer la llave y por ende lo que se esta protegiendo con estos.;;;;x;x;x;x;x;x;x;x;x;
AP - 0067;El sistema debe utilizar certificados digitales que no se encuentren vencidos.;Procedimiento definido e implementado;Mitigar ataques con los que se pueda comprometer la llave y por ende lo que se esta protegiendo con estos.;;;;x;x;x;x;x;x;x;x;x;
AP - 0068;Debe utilizarse certificados firmados por entidades certificadoras internas válidas cuando estos sean para aplicaciones internas.;Procedimiento definido e implementado;"Mitigar la suplantación del sistema (máquina, servicio, sitio, entre otros) que presenta el certificado.
Facilitar y certificar la identificación de sitios o servicios ficticios.
Garantizar la identidad de los sistemas internos ante los consumidores internos.
Dar seguridad a los empleados que están ingresando a un sitio seguro.";;;;x;x;x;x;x;x;x;x;x;
AP - 0069;Debe utilizarse certificados firmados por entidades certificadoras externas válidas cuando estos sean para aplicaciones externas.;Procedimiento definido e implementado;"Mitigar la suplantación del sistema (máquina, servicio, sitio, entre otros) que presenta el certificado.
Facilitar la identificación de sitios o servicios ficticios.
Garantizar la identidad de la organización ante los terceros y clientes.
Dar seguridad a los clientes que están ingresando a un sitio seguro.";;;;x;x;x;x;x;x;x;x;x;
AP - 0070;Las aplicaciones criticas expuestas a los clientes deben tener certificados de validación extendida.;Procedimiento definido e implementado;Identificar el propietario del sitio web y ofrece mayor seguridad al tener un cifrado mas robutos de mínimo 128 bits.;;;;x;x;;;;;;;;
AP - 0071;Debe utilizarse certificados con una identificación coherente con la organización (servicio, servidor, entre otros) a la cual se encuentra asociado.;Procedimiento definido e implementado;"Mitigar errores de validación de certificados.
Mitigar la suplantación del sistema que presenta el certificado.
Facilitar la identificación de sitios o servicios ficticios.
Garantizar la identidad de la organización ante los terceros o empleados cuando son aplicaciones internas.";;;;x;x;x;x;x;x;x;x;x;
AP - 0072;Las derivaciones de clave (Salt), deben ser aleatorias y de mínimo 48 bits.;Desarrollo funcional o no funcional;Agregar complejidad al Sald y al contexto en el cual se está utilizando;;;;x;x;x;x;x;;x;x;x;
AP - 0073;Las funciones de criptografía del sistema deben ser implementadas con mecanismos criptográficos preexistentes, vigentes y avalados por la organización.;Desarrollo funcional o no funcional;Mitigar que se utilicen algoritmos desarrollados a la medida los cuales no han sido probados robustamente y es posible que facilmente se puedan decifrar.;;;;x;x;x;x;x;x;x;x;x;
AP - 0074;Debe utilizarse como mecanismo de cifrado asimétrico un tamaño de clave mínimo de 2048 bits para RSA y 256 bits para ECC.;Desarrollo funcional o no funcional;Asegurar que el algoritmo utilizado tiene una llave suficientemente robusta para mitigar que el sistema de cifrado o firmado se vea comprometido en el tiempo.;;;;x;x;x;x;x;x;x;x;x;
AP - 0075;Debe utilizarse como mecanismo de cifrado simétrico un tamaño de clave mínimo de 256 bits para AES;Desarrollo funcional o no funcional;Asegurar que el algoritmo utilizado tiene una llave suficientemente robusta para mitigar que el sistema de cifrado o firmado se vea comprometido en el tiempo.;;;;x;x;x;x;x;x;x;x;x;
AP - 0076;Debe utilizarse como funciones resumen SHA-2 (SHA-256, SHA-384, o SHA-512) o SHA-3 (SHA3-256, SHA3-384 o SHA3-512);Desarrollo funcional o no funcional;mitigar que se comprometa la información que se desea proteger (Ejm: cuentas, contraseñas, etc.). Impedir ataques de tipo rainbow table.;;;;x;x;x;x;x;x;x;x;x;
AP - 0077;Debe utilizarse llaves diferentes para diferentes procesos (Ej.: llaves diferentes para firmado y cifrado de mensajes).;Desarrollo funcional o no funcional;Mitigar que al comprometerse una llave de un proceso  se comprometa lel otro proceso.;;;;x;x;x;x;x;x;;;x;
AP - 0078;Los números aleatorios generados deben seguir una distribución uniforme, para esto se debe utilizar el mecanismo criptográfico más seguro ofrecido por la plataforma (Ej.: java.security.SecureRandom).;Desarrollo funcional o no funcional;Garantizar que los número aleatorios realmente no obedecen a ninguna razón, parámetro o lógica.;;;;x;x;x;x;x;x;x;x;x;
AP - 0079;La llaves asimétricas privadas o simétricas del sistema deben estar protegidas y no deben ser expuestas;Desarrollo funcional o no funcional;Mitigar que las llaves criptográficas, que deben ser secretas, se comprometan mediante su exposición en pantalla, logs u otra representación que permita su recuperación posteriormente.;;;;x;x;x;x;x;x;x;x;x;
AP - 0080;Las variables o registros temporales donde se almacene información confidencial deben ser borradas inmediatamente se dejen de utilizar, este borrado debe hacerse sobrescribiendo el dato con ceros (Ej.: llaves criptográficas, números de tarjetas, tokens de sesión, etc.).;Desarrollo funcional o no funcional;Reducir la probabilidad de que la información confidencial sea comprometida mediante un volcado de memoria;;;;x;x;x;x;x;x;x;x;x;
AP - 0081;Los sistemas críticos de la organización deben ser redundantes (Alta disponibilidad) y tener respaldo fuera de sitio (DRP);Procedimiento definido e implementado;Mitigar denegación del servicio y mejorar la disponibilidad de los sistemas;;;;x;x;;x;x;x;x;x;x;
AP - 0082;El sistema no debe exponer identificadores o tokens de sesión en URLs ni ser presentados a ningún usuario.;Desarrollo funcional o no funcional;Mitigar la suplantación de usuarios por fuga de información del token de sesión al compartir pantalla, tomar pantallazos, compartir URL, entre otros.;;;;x;x;x;x;x;;;;;
AP - 0083;El sistema no debe incluir en los parámetros de una solicitud al servidor nombres de directorios o rutas de archivos.;Desarrollo funcional o no funcional;Mitigar que se puedan modificar las solicitudes de la aplicación para ejecutar, abrir o modificar archivos diferentes a los necesarios para la solución.;;;;;x;;x;x;x;x;x;x;
AP - 0084;Los archivos del sistema deben ser referenciados mediante rutas absolutas.;Desarrollo funcional o no funcional;Mitigar la carga de rutas inseguras que pueden llevar a fuga de información, funcionamiento inapropiado o la realización de acciones mal intencionadas.;;;;;x;;x;x;;x;x;x;
AP - 0085;Los metadatos de archivos deben ser eliminados antes de ser compartidos con un tercero o hacerlos públicos.;Desarrollo funcional o no funcional;Mitigar fugas de información oculta en los metadatos;;;;x;x;x;x;x;;x;x;x;
AP - 0086;Los eventos con severidad de depuración (Debug) no deben estar habilitados en producción.;Procedimiento definido e implementado;"Mitigar denegación de servicio
Mitigar fuga de información debido a funciones debug en el código ingresadas por el desarrollador.";;;;x;x;x;x;x;x;x;x;x;
AP - 0087;El sistema no debe registrar información sensible en los log técnicos y registros de auditoria.;Desarrollo funcional o no funcional;Mitigar fuga de información en los logs de auditoria;;;;x;x;x;x;x;x;x;x;x;
AP - 0088;Al momento de enviar correos electrónicos masivos los destinatarios se deben enviar en el campo CCO o BCC (copia oculta);Desarrollo funcional o no funcional;Mitigar publicar masivamente correos de clientes o de empleados;;;;;x;;x;x;x;x;x;x;
AP - 0089;El código fuente no debe contener información sensible.;Desarrollo funcional o no funcional;Evitar que información confidencial se fugue a través del código fuente, que puede ser accedido por múltiples desarrolladores y administradores de los repositorios.;;;;x;x;x;x;x;x;x;x;x;
AP - 0090;El código fuente debe estar ofuscado en ambiente de producción, así la aplicación sea compilada. ;Desarrollo funcional o no funcional;Dificultar la detección de vulnerabilidades relacionadas a la lógica de la aplicación;;;;x;x;x;;;;x;x;x;
AP - 0091;Se debe remover todo código fuente que haya sido comentado antes de pasar la solución a producción.;Desarrollo funcional o no funcional;"Mitigar la fuga de información confidencial que se encuentre en el código fuente.
Dificultar la detección de vulnerabilidades relacionadas a la lógica de la aplicación.
Mitigar el riesgo de inyección de código con vulnerabilidades o errores en producción";;;;x;x;x;x;x;x;x;x;x;
AP - 0092;Las cadenas de conexión a la base de datos o credenciales usadas para acceder a otros sistemas deben de estar cifradas en un archivo de configuración separado del código fuente.;Desarrollo funcional o no funcional;"Mitigar la fuga de información de las credenciales de acceso a otros sistemas
Mitigar el acceso no autorizados a los sistemas
";;;;;x;x;x;x;;x;x;x;
AP - 0093;El sistema no debe almacenar información sensible en archivos temporales o en memoria caché, esto incluye los campos de los formularios de lado del cliente.;Desarrollo funcional o no funcional;Mitigar difundir datos sensibles en respuestas de error, incluyendo detalles del sistema, identificadores de sesión o información confidencial de la cuenta.;;;;x;x;x;x;x;;x;x;x;
